BO_sstmean,utm_x,utm_y
4.4039998054504395,681038.5825539478,5574150.412560299
3.811000108718872,686973.5250134732,5574356.41354583
4.6020002365112305,716647.1008429421,5575486.213057105
4.480000019073486,722581.5723251966,5575732.1367503945
4.283999919891357,728515.9571023688,5575984.716760832
4.341000080108643,734450.2528208367,5576243.9538664725
4.578000068664551,740384.4571237017,5576509.848865796
4.679999828338623,746318.567650695,5576782.402577698
4.578999996185303,669463.9104303196,5564494.027547767
4.394999980926514,675409.3659946345,5564686.829747978
4.831999778747559,681354.7545206036,5564886.286384136
4.458000183105469,687300.0737097593,5565092.398074778
4.749000072479248,693245.3212610343,5565305.165459017
4.6519999504089355,699190.4948706755,5565524.589196557
4.4720001220703125,705135.5922321592,5565750.669967673
4.7270002365112305,711080.611036101,5565983.408473213
4.763000011444092,717025.5489701799,5566222.805434604
4.810999870300293,722970.403719043,5566468.86159383
4.728000164031982,728915.1729642221,5566721.577713444
4.72599983215332,734859.8543840509,5566980.954576555
4.7870001792907715,740804.4456535799,5567246.992986827
4.769999980926514,746748.9444444824,5567519.693768477
4.910999774932861,663803.0890819833,5555043.554889209
4.875,669758.9706469192,5555229.801557697
4.7129998207092285,675714.7883872847,5555422.7056116965
4.749000072479248,681670.5400392857,5555622.267653
4.742000102996826,687626.2233366072,5555828.488304129
4.790999889373779,693581.8360103298,5556041.368208319
4.836999893188477,699537.3757888426,5556260.908029521
4.872000217437744,705492.8403977592,5556487.108452398
4.875999927520752,711448.2275598272,5556719.970182321
4.861000061035156,717403.5349948511,5556959.493945362
4.875999927520752,723358.7604195985,5557205.680488296
4.8979997634887695,729313.9015477151,5557458.530578593
4.857999801635742,735268.9560896421,5557718.045004417
4.849999904632568,741223.9217525317,5557984.224574619
4.833000183105469,747178.7962401521,5558257.070118737
4.311999797821045,646188.3932523082,5545260.272313031
4.526000022888184,652154.7987613501,5545426.636506358
4.938000202178955,658121.1480480961,5545599.659884598
4.9019999504089355,664087.4388881171,5545779.342990822
4.942999839782715,670053.6690547202,5545965.686388964
4.934000015258789,676019.8363188542,5546158.690663817
4.892000198364258,681985.9384490335,5546358.356421031
4.901000022888184,687951.9732112471,5546564.684287112
4.916999816894531,693917.9383688741,5546777.674909417
4.927000045776367,699883.8316825978,5546997.328956147
4.920000076293945,705849.6509103195,5547223.647116353
4.922999858856201,711815.3938070704,5547456.6300999215
4.900000095367432,717781.0581249321,5547696.278637582
4.910999774932861,723746.6416129437,5547942.593480895
4.915999889373779,729712.1420170168,5548195.575402252
4.941999912261963,735677.5570798521,5548455.22519487
4.921999931335449,741642.884540855,5548721.54367279
4.885000228881836,747608.1221360405,5548994.531670869
4.860000133514404,646441.3907748393,5535995.907984398
5.059999942779541,652418.1296229415,5536162.357047113
5.050000190734863,658394.8130777114,5536335.468718853
5.0279998779296875,664371.4389471922,5536515.243546141
5.026000022888184,670348.0050371584,5536701.682096498
5.014999866485596,676324.5091510226,5536894.784958437
4.985000133514404,682300.9490897583,5537094.5527414605
4.978000164031982,688277.3226518088,5537300.9860760635
4.9720001220703125,694253.6276330024,5537514.085613717
4.954999923706055,700229.8618264666,5537733.852026882
4.934999942779541,706206.023022543,5537960.28600899
4.939000129699707,712182.1090086956,5538193.388274454
4.947999954223633,718158.1175694347,5538433.159558653
4.943999767303467,724134.0464862223,5538679.600617936
4.935999870300293,730109.8935373867,5538932.712229615
4.941999912261963,736085.6564980395,5539192.495191963
4.934999942779541,742061.3331399907,5539458.950324209
4.934000015258789,748036.9212316535,5539732.078466536
4.290999889373779,634719.8020745895,5526418.591350919
4.824999809265137,640706.9642016623,5526571.793485737
5.0279998779296875,646694.0760803611,5526731.66056077
5.052000045776367,652681.1355556432,5526898.1930837305
5.041999816894531,658668.1404703603,5527071.391583465
5.066999912261963,664655.0886651773,5527251.256609949
5.056000232696533,670641.9779784873,5527437.788734292
5.0370001792907715,676628.8062463156,5527630.988548724
5.006999969482422,682615.5713022448,5527830.856666605
4.98799991607666,688602.2709773227,5528037.393722411
4.959000110626221,694588.9030999778,5528250.60037174
4.9670000076293945,700575.4654959317,5528470.477291301
4.960000038146973,706561.9559881156,5528697.025178917
4.9629998207092285,712548.3723965783,5528930.244753517
4.9670000076293945,718534.7125384088,5529170.13675514
4.952000141143799,724520.9742276428,5529416.701944918
4.955999851226807,730507.1552751757,5529669.941105089
4.922999858856201,736493.2534886812,5529929.855038978
4.949999809265137,742479.2666725247,5530196.444571005
4.918000221252441,748465.1926276694,5530469.710546677
4.458000183105469,628954.0454230866,5517007.696891487
4.864999771118164,634951.561226141,5517154.306708395
4.993000030517578,640949.0296720688,5517307.584280738
5.0980000495910645,646946.4486406285,5517467.530098145
5.061999797821045,652943.8160095563,5517634.1446715165
5.056000232696533,658941.1296544791,5517807.428533017
5.065000057220459,664938.3874488334,5517987.382236078
5.017000198364258,670935.587263779,5518174.006355395
5.006999969482422,676932.726968105,5518367.301486919
4.984000205993652,682929.804428152,5518567.268247863
4.956999778747559,688926.8175077223,5518773.907276691
4.935999870300293,694923.7640679933,5518987.21923312
4.961999893188477,700920.6419674319,5519207.2047981145
4.951000213623047,706917.4490617083,5519433.864673883
4.933000087738037,712914.183203606,5519667.19958388
