utm_x,utm_y,individualCount
673533.3588627123,5538102.076479525,1
674112.1019684996,5541937.891862767,1
674141.972132087,5541460.338288623,1
674967.0509177074,5560035.539747187,1
675088.7998893671,5556329.153571432,1
675271.274868045,5550770.718809679,615
676341.2177988848,5554516.335254338,1
676364.8060400983,5539307.319448522,1
676402.4692803954,5552663.157203604,2
676463.7057191355,5550809.983516145,56
677532.1026505386,5554555.834427118,1
677655.4186226408,5550849.490927387,8
678033.6265115861,5553830.231159817,384
678056.4852940164,5531573.083152874,1
678226.6242720741,5569417.802776861,105
678475.3023024999,5562006.122722678,1
678592.6550914613,5448873.812492797,1
678748.5408856282,5553854.132912783,384
678792.0740142402,5509340.368225651,1
678847.8441882995,5550889.288476217,1
679868.092208027,5447060.352681301,1
679927.8969191783,5474880.90125422,1
679962.1725709902,5517539.722485724,1
680085.6682864625,5513834.672503013,15
680103.2764503337,5556125.580734734,384
681930.899184098,5458255.451194564,6
682099.60924243,5539499.07120874,1
682237.0727144728,5448992.9989256775,1
682424.3894834833,5551010.2557609575,1
682664.7540093202,5543970.092815309,1
682686.4923833052,5513112.898284244,3
684480.3143288536,5454631.4473516345,1
684666.4303704898,5449073.787426242,1
684728.4499892562,5447220.872267101,1
684936.6861126997,5547387.060304006,1
685000.77425871,5545533.9288058635,3
685082.0442682836,5536262.314489385,1
689102.9459158115,5530837.469263518,1
691100.5139760401,5542038.520024873,3
695042.3839666905,5542214.008852021,1
696232.5582009504,5545563.455658424,2
696457.1497751188,5558929.416667583,2
696483.8434481431,5458756.086178363,1
696525.4778747626,5557076.304369018,1
696746.2635799255,5459566.7859910205,1
696798.5408075617,5549666.119673071,1
697003.182451411,5544107.968615309,1
697684.2429466919,5525580.695998476,1
698621.3205513764,5500014.249077714,1
700046.729215768,5520102.329218104,1
700445.6870493086,5547946.0130341295,1
701913.3585442875,5527963.9476722395,1
702690.763767637,5551741.02306289,1
703529.1801264989,5561050.705765772,1
704103.1423979207,5449758.737713662,1
705980.7051110382,5559289.139958311,1
707273.6575944126,5462847.596234495,1
708434.573211879,5557528.690956411,1
708449.101247784,5544912.217615387,1
708651.8463665948,5551970.632412231,2
709479.1699056408,5561281.498826221,86
710491.246843972,5529405.989724517,1
710551.8836014365,5463951.836809855,1
710742.7656141731,5559475.409131629,2
711721.6862331522,5552834.081606469,1
711786.0045720737,5563227.6494403,19
712900.9563092134,5565128.174413777,619
713182.7791623103,5537171.692110215,1
713345.7195971182,5554012.11707819,64
713414.0771744947,5555829.657842144,1
713778.0858181632,5555142.804436974,12
713817.0867344574,5536217.194085444,3
714090.3908935721,5565175.932694576,152
714239.5329336169,5561470.945320063,12
714314.0989530815,5559617.90166076,85
714388.6467111605,5557764.861890514,76
714463.1314983288,5555912.937607756,144
714537.6427258527,5554059.905614454,3
714612.13567325,5552206.877511367,2
714627.0141969029,5551836.7169947745,1
715129.776976272,5568928.9500946645,138
715204.786242278,5567077.007641983,131
715220.5225653237,5464099.449409583,1
715279.8222001703,5565223.957449256,32
715504.775013805,5559665.941702028,61
715654.6368077401,5555960.9877577685,34
716317.661695855,5568977.201957411,41
718339.785169607,5548646.926068967,1
718459.6306340653,5455874.79247259,1
719046.3964042936,5441073.437800315,1
719047.1442844201,5441054.553275023,1
719304.5878360476,5554253.6968849,1
719367.728220489,5469640.621701934,1
719421.5582999754,5464655.365578685,1
719590.0616636248,5464083.209153275,48
719729.2354401476,5572829.691071898,2
719882.7218213547,5569123.613263902,3
719995.7324123391,5562020.837365394,1
720189.377765998,5561713.726489203,5
720257.6845708827,5554292.955172289,1
720696.3527358926,5560992.01824646,13
720945.2108631914,5537619.393110301,1
720994.1568362154,5571025.99129244,1
721071.3061143428,5569172.95959767,1
721104.8108453962,5531646.787407947,1
721148.3902945986,5567321.043284396,1
721202.7746538746,5548764.639098495,1
721336.777110473,5533924.414486223,1
721872.3655000438,5549905.878581078,1
721993.3436304324,5538854.072999214,1
722333.5949195715,5538790.22762067,36
723369.7714949024,5571125.442623263,1
724126.3586932191,5564475.956333018,1
724500.8816328926,5555583.34335754,1
726297.262980951,5558257.219402688,1
727014.5777675506,5546981.640648644,1
727023.0702652162,5546781.560761204,23
727306.0244518307,5540112.2560119,1
728312.6693650853,5550177.195957152,1
728408.2337779342,5564658.12512226,1
728853.180514332,5484257.977542013,1
728976.4821206194,5483394.6694912,2
729458.2366147572,5454466.253911248,1
729560.6024047366,5486759.555621463,1
730439.5339060886,5460074.20516826,1
730497.2621763274,5467948.456596317,1
730746.9667819331,5543600.09111452,1
731081.7806269412,5467895.11369403,1
732514.5623941899,5502473.965183902,1
732614.6669145874,5516954.449279552,1
733117.3184476462,5565976.15333127,4
734134.6705623493,5548201.818569376,1
734801.7116259806,5549344.752630716,1
736103.295646114,5542107.403797329,1
736429.624111355,5544961.71411502,1
736495.0065630405,5541367.373999837,1
736576.9015915971,5541627.138111993,3
736625.9795870823,5540515.61535849,14
738927.570071952,5460436.527415858,1
739294.2853042391,5467857.5549602015,1
739294.876494901,5545089.059740817,1
739503.7109958209,5566449.392086821,1
739592.9417631152,5538419.966197645,1
739776.2098156717,5566272.331050343,1
740857.5604347433,5552933.317598868,1
741227.5676330022,5501740.772695916,1
742361.2322346118,5540771.906466724,1
742411.4946051881,5539660.400669201,1
742892.2451288928,5453186.004955362,1
743132.9346094086,5558204.627076661,1
743137.0695858183,5555286.577592395,1
743750.3938162492,5557542.248007705,9
743852.0293079193,5555319.212198511,1
744209.1729677065,5467350.335210658,1
745254.0576389168,5545525.915400916,1
746406.7238251468,5546525.647844469,1
746509.1041861259,5544302.64913318,1
746611.454337411,5542079.655362662,1
746937.497158349,5487519.017800868,1
748147.8571234811,5539922.857272087,1
748545.23466609,5462719.454979812,1
749019.6602158907,5536621.640988673,1
749041.8468458465,5564303.375782217,1
751025.3241034774,5493274.7182774,1
