BO_salinity,utm_x,utm_y
30.486000061035156,681038.5825539478,5574150.412560299
30.499000549316406,686973.5250134732,5574356.41354583
30.424999237060547,716647.1008429421,5575486.213057105
30.43600082397461,722581.5723251966,5575732.1367503945
30.381999969482422,728515.9571023688,5575984.716760832
30.323999404907227,734450.2528208367,5576243.9538664725
30.264999389648437,740384.4571237017,5576509.848865796
30.20800018310547,746318.567650695,5576782.402577698
30.496999740600586,669463.9104303196,5564494.027547767
30.48900032043457,675409.3659946345,5564686.829747978
30.496000289916992,681354.7545206036,5564886.286384136
30.510000228881836,687300.0737097593,5565092.398074778
30.52199935913086,693245.3212610343,5565305.165459017
30.51799964904785,699190.4948706755,5565524.589196557
30.489999771118164,705135.5922321592,5565750.669967673
30.45199966430664,711080.611036101,5565983.408473213
30.406999588012695,717025.5489701799,5566222.805434604
30.350000381469727,722970.403719043,5566468.86159383
30.28499984741211,728915.1729642221,5566721.577713444
30.218000411987305,734859.8543840509,5566980.954576555
30.15399932861328,740804.4456535799,5567246.992986827
30.093000411987305,746748.9444444824,5567519.693768477
30.489999771118164,663803.0890819833,5555043.554889209
30.464000701904297,669758.9706469192,5555229.801557697
30.45199966430664,675714.7883872847,5555422.7056116965
30.454999923706055,681670.5400392857,5555622.267653
30.464000701904297,687626.2233366072,5555828.488304129
30.472000122070312,693581.8360103298,5556041.368208319
30.459999084472656,699537.3757888426,5556260.908029521
30.420000076293945,705492.8403977592,5556487.108452398
30.368999481201172,711448.2275598272,5556719.970182321
30.308000564575195,717403.5349948511,5556959.493945362
30.239999771118164,723358.7604195985,5557205.680488296
30.16699981689453,729313.9015477151,5557458.530578593
30.094999313354492,735268.9560896421,5557718.045004417
30.025999069213867,741223.9217525317,5557984.224574619
29.964000701904297,747178.7962401521,5558257.070118737
30.384000778198242,646188.3932523082,5545260.272313031
30.388999938964844,652154.7987613501,5545426.636506358
30.45800018310547,658121.1480480961,5545599.659884598
30.423999786376953,664087.4388881171,5545779.342990822
30.39699935913086,670053.6690547202,5545965.686388964
30.382999420166016,676019.8363188542,5546158.690663817
30.3799991607666,681985.9384490335,5546358.356421031
30.382999420166016,687951.9732112471,5546564.684287112
30.38599967956543,693917.9383688741,5546777.674909417
30.368000030517578,699883.8316825978,5546997.328956147
30.319000244140625,705849.6509103195,5547223.647116353
30.256000518798828,711815.3938070704,5547456.6300999215
30.183000564575195,717781.0581249321,5547696.278637582
30.106000900268555,723746.6416129437,5547942.593480895
30.027999877929688,729712.1420170168,5548195.575402252
29.951000213623047,735677.5570798521,5548455.22519487
29.881999969482422,741642.884540855,5548721.54367279
29.81999969482422,747608.1221360405,5548994.531670869
30.23699951171875,646441.3907748393,5535995.907984398
30.375999450683594,652418.1296229415,5536162.357047113
30.347000122070313,658394.8130777114,5536335.468718853
30.319000244140625,664371.4389471922,5536515.243546141
30.29199981689453,670348.0050371584,5536701.682096498
30.277000427246094,676324.5091510226,5536894.784958437
30.270000457763672,682300.9490897583,5537094.5527414605
30.266000747680664,688277.3226518088,5537300.9860760635
30.26300048828125,694253.6276330024,5537514.085613717
30.23900032043457,700229.8618264666,5537733.852026882
30.184999465942383,706206.023022543,5537960.28600899
30.11199951171875,712182.1090086956,5538193.388274454
30.02899932861328,718158.1175694347,5538433.159558653
29.94700050354004,724134.0464862223,5538679.600617936
29.865999221801758,730109.8935373867,5538932.712229615
29.78700065612793,736085.6564980395,5539192.495191963
29.7189998626709,742061.3331399907,5539458.950324209
29.659000396728516,748036.9212316535,5539732.078466536
29.988000869750977,634719.8020745895,5526418.591350919
30.035999298095703,640706.9642016623,5526571.793485737
30.23699951171875,646694.0760803611,5526731.66056077
